attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,29.77,58.65,0.5151,9378.25,0.99178,0.96708,0.97216,0.96205
dos,cuda:2,3.14,7.8,0.0735,1528.87,0.99776,0.97624,0.98249,0.97007
fuzzers,cuda:2,4.27,10.44,0.0953,1999.74,0.9887,0.89362,0.81201,0.99346
exploits,cuda:2,8.37,19.29,0.1681,3612.59,0.99697,0.96835,0.9584,0.97851
generic,cuda:2,26.56,52.33,0.4807,8960.15,0.99935,0.99645,0.99856,0.99434
reconnaissance,cuda:2,3.0,7.79,0.0728,1501.35,0.99904,0.98996,0.99144,0.98848
analysis,cuda:2,0.5,1.8,0.0237,292.42,0.99898,0.98964,0.9795,1.0
shellcode,cuda:2,0.28,1.39,0.0196,174.35,0.99856,0.98482,0.97009,1.0
backdoor,cuda:2,0.43,1.61,0.022,251.78,0.99771,0.97525,0.97384,0.97668
