attack_cat,mode,accuracy,f1_malicious,precision_malicious,recall_malicious,train_time,test_time,peak_memory
backdoor,ddp,0.9999,0.9996,0.9995,0.9998,4.842,0.0503,571.086
backdoor,single_gpu,1.0,0.9998,0.9999,0.9996,8.37,0.0581,1054.71
ddos,ddp,0.9944,0.9696,0.959,0.9804,4.958,0.0508,600.832
ddos,single_gpu,0.9989,0.9942,0.9935,0.9949,8.436,0.0611,1091.39
dos,ddp,0.9992,0.9958,0.999,0.9926,8.248,0.0535,573.334
dos,single_gpu,0.9993,0.9963,0.9985,0.994,10.366,0.065,1055.52
injection,ddp,0.9916,0.9533,0.9594,0.9472,4.898,0.05,599.954
injection,single_gpu,0.9992,0.9953,0.9971,0.9936,8.354,0.0603,1089.74
password,ddp,0.9944,0.9694,0.9626,0.9764,4.92,0.0499,599.762
password,single_gpu,0.9995,0.9974,0.9978,0.997,8.858,0.0634,1089.59
ransomware,ddp,0.9998,0.9991,0.9983,0.9999,4.84,0.0499,575.376
ransomware,single_gpu,0.9999,0.9995,0.9991,1.0,8.428,0.0585,1057.22
scanning,ddp,0.9994,0.997,0.9979,0.996,4.86,0.0502,585.882
scanning,single_gpu,0.9995,0.9971,0.9981,0.996,8.372,0.0594,1071.08
xss,ddp,0.9959,0.977,0.9971,0.9578,4.906,0.0495,592.764
xss,single_gpu,0.9994,0.9966,0.9997,0.9936,8.924,0.0632,1078.48
