attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,19.11,102.8,0.7766,16139.82,0.99172,0.98061,0.96691,0.96804,0.96578
dos,cuda,1.98,13.43,0.0963,2533.06,0.99776,0.98874,0.97651,0.97427,0.97877
fuzzers,cuda,2.64,17.92,0.1322,3307.83,0.9885,0.98826,0.89109,0.81151,0.98799
exploits,cuda,5.33,33.88,0.2307,6020.48,0.99706,0.98752,0.96932,0.96178,0.97699
generic,cuda,16.72,91.09,0.6957,15405.63,0.99941,0.99729,0.99677,0.99885,0.9947
reconnaissance,cuda,1.85,13.26,0.0975,2478.92,0.99955,0.99814,0.9953,0.99403,0.99658
analysis,cuda,0.28,2.51,0.0282,473.68,0.99864,0.99815,0.98585,0.97436,0.99761
shellcode,cuda,0.16,1.52,0.0224,276.15,0.99835,0.99707,0.98283,0.97034,0.99565
backdoor,cuda,0.24,2.18,0.027,406.11,0.99792,0.98482,0.97794,0.98565,0.97034
