attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
backdoor,cuda,8.42,99.997,99.981,100.0,99.96199999999999
backdoor,cuda:2,4.86,100.0,100.0,100.0,100.0
ddos,cuda,8.49,99.91,99.508,99.169,99.848
ddos,cuda:2,4.73,99.44,96.989,95.966,98.03399999999999
dos,cuda,10.16,99.931,99.619,99.847,99.392
dos,cuda:2,9.59,99.924,99.578,99.923,99.235
injection,cuda,8.39,99.919,99.553,99.657,99.449
injection,cuda:2,4.87,99.146,95.28,95.67999999999999,94.882
password,cuda,8.91,99.953,99.74300000000001,99.81,99.677
password,cuda:2,4.97,99.37899999999999,96.578,95.75399999999999,97.416
ransomware,cuda,8.46,99.98599999999999,99.924,99.848,100.0
ransomware,cuda:2,4.88,99.976,99.86699999999999,99.848,99.886
scanning,cuda,8.4,99.94800000000001,99.715,99.81,99.62
scanning,cuda:2,4.71,99.96199999999999,99.792,99.886,99.698
xss,cuda,8.96,99.945,99.695,99.96199999999999,99.42999999999999
xss,cuda:2,4.89,99.564,97.571,99.37700000000001,95.83
