Dataset,Model,Accuracy,Precision,Recall,F1 Score,Train Time (s),Test Time (s),Type
dos,Random Forest,0.9989389601809774,0.9870184254606366,0.9907524169819252,0.9888818963708832,12.897255659103394,0.1831197738647461,Cross-Validated
dos,Bagging,0.99885888170407,0.9861809045226131,0.9899117276166457,0.9880427942101951,57.04009556770325,0.8839759826660156,Cross-Validated
dos,SGD,0.9958759584392705,0.9693304535637149,0.9432534678436317,0.956114188325522,0.8549327850341797,0.015471935272216797,Cross-Validated
dos,AdaBoost,0.9985585874156674,0.9848675914249685,0.9848675914249685,0.9848675914249685,28.01579976081848,0.6219696998596191,Cross-Validated
dos,Naive Bayes,0.9815018718343977,0.7257213775985107,0.9831862126944094,0.8350589075330239,0.1935129165649414,0.02807307243347168,Cross-Validated
fuzzers,Random Forest,0.9900453160983582,0.8424750067549311,0.9728549141965679,0.9029829134086301,17.56336283683777,0.2875683307647705,Cross-Validated
fuzzers,Bagging,0.9901047470470248,0.8502068965517241,0.9616224648985959,0.902489019033675,87.48871088027954,1.1617546081542969,Cross-Validated
fuzzers,SGD,0.9886635465418617,0.8117977528089888,0.9918876755070203,0.8928521275101812,1.033370018005371,0.018827438354492188,Cross-Validated
fuzzers,AdaBoost,0.9890795631825273,0.8179711637487127,0.9912636505460218,0.8963182395260262,42.17930793762207,0.7981524467468262,Cross-Validated
fuzzers,Naive Bayes,0.984235940866206,0.7515251055842328,0.9993759750390016,0.8579081291013794,0.23074007034301758,0.038713932037353516,Cross-Validated
exploits,Random Forest,0.9986769429411718,0.9836802664446295,0.9886192468619247,0.986143572621035,38.239044427871704,0.5386123657226562,Cross-Validated
exploits,Bagging,0.9986052109319582,0.9834944981660554,0.9872803347280334,0.9853837801720537,174.21314811706543,3.725916624069214,Cross-Validated
exploits,SGD,0.9944846055138005,0.9461239655463604,0.9375732217573222,0.9418291862811029,2.163816213607788,0.023239612579345703,Cross-Validated
exploits,AdaBoost,0.9980951166442172,0.9818548387096774,0.9780753138075314,0.97996143204494,91.46354484558105,1.5735132694244385,Cross-Validated
exploits,Naive Bayes,0.8652872866969004,0.26025714160340513,0.9926359832635984,0.4123904881101377,0.5058023929595947,0.12259531021118164,Cross-Validated
generic,Random Forest,0.9998208186956687,0.9995515695067264,0.9984769754524279,0.9990139835066332,138.32868885993958,1.3971242904663086,Cross-Validated
generic,Bagging,0.9998099592226789,0.999402199904352,0.9985068386788508,0.998954318663918,1023.2766082286835,10.841200351715088,Cross-Validated
generic,SGD,0.9990959488736012,0.9984364194004269,0.9916084333751418,0.9950107127339196,4.33773398399353,0.04123353958129883,Cross-Validated
generic,AdaBoost,0.9996742158103067,0.9994312058436116,0.9969838141312788,0.9982060098669457,279.96895241737366,4.57850980758667,Cross-Validated
generic,Naive Bayes,0.9972091154416276,0.981715642623924,0.9876963507137311,0.9846969155650828,1.5306200981140137,0.3628225326538086,Cross-Validated
reconnaissance,Random Forest,0.9995928255868402,0.9961489088575096,0.9952971355280035,0.9957228400342173,11.435865879058838,0.16367745399475098,Cross-Validated
reconnaissance,Bagging,0.9995521081455241,0.9965709387055294,0.9940145361265498,0.995291095890411,63.56245732307434,0.8216462135314941,Cross-Validated
reconnaissance,SGD,0.9956025163378733,0.9359342915811089,0.9743480119709278,0.954754922496858,0.550849199295044,0.018133878707885742,Cross-Validated
reconnaissance,AdaBoost,0.9994503145422342,0.99528706083976,0.993159469858914,0.9942221271132035,26.837892293930054,0.5893206596374512,Cross-Validated
reconnaissance,Naive Bayes,0.9883344530629695,0.8036451169188445,0.9991449337323642,0.8907947398513436,0.1322774887084961,0.025482892990112305,Cross-Validated
analysis,Random Forest,0.9988635072167291,0.9766899766899767,1.0,0.9882075471698113,1.503331184387207,0.0363306999206543,Cross-Validated
analysis,Bagging,0.9982952608250938,0.9764150943396226,0.9880668257756563,0.9822064056939501,5.890953302383423,0.10839962959289551,Cross-Validated
analysis,SGD,0.9981816115467667,0.9786223277909739,0.9832935560859188,0.9809523809523809,0.15163111686706543,0.002127408981323242,Cross-Validated
analysis,AdaBoost,0.998636208660075,0.9810874704491725,0.9904534606205251,0.9857482185273159,4.8275063037872314,0.13156366348266602,Cross-Validated
analysis,Naive Bayes,0.9887487214456189,0.8088803088803089,1.0,0.8943436499466382,0.02357769012451172,0.006077766418457031,Cross-Validated
shellcode,Random Forest,0.9989658738366081,0.9787234042553191,1.0,0.989247311827957,0.7523484230041504,0.02225637435913086,Cross-Validated
shellcode,Bagging,0.9993795243019649,0.9871244635193133,1.0,0.9935205183585313,2.1347713470458984,0.06891274452209473,Cross-Validated
shellcode,SGD,0.9977249224405378,0.9543568464730291,1.0,0.9766454352441614,0.05192065238952637,0.001844167709350586,Cross-Validated
shellcode,AdaBoost,0.9995863495346432,0.9956521739130435,0.9956521739130435,0.9956521739130435,2.729032039642334,0.09454512596130371,Cross-Validated
shellcode,Naive Bayes,0.9964839710444674,0.9311740890688259,1.0,0.9643605870020965,0.01691603660583496,0.0037751197814941406,Cross-Validated
backdoor,Random Forest,0.9997312911460433,0.9971751412429378,0.9971751412429378,0.9971751412429378,1.5117242336273193,0.03659963607788086,Cross-Validated
backdoor,Bagging,0.9990595190111514,0.9887323943661972,0.9915254237288136,0.9901269393511989,4.920230150222778,0.09750652313232422,Cross-Validated
backdoor,SGD,0.9957006583366922,0.96,0.9491525423728814,0.9545454545454546,0.1427445411682129,0.0020265579223632812,Cross-Validated
backdoor,AdaBoost,0.998925164584173,0.9887005649717514,0.9887005649717514,0.9887005649717514,4.01214599609375,0.12140250205993652,Cross-Validated
backdoor,Naive Bayes,0.9325540776568588,0.4119047619047619,0.9774011299435028,0.5795644891122278,0.02496957778930664,0.006136655807495117,Cross-Validated
,Random Forest,0.9951490364081126,0.9846897327473076,0.9764722893557249,0.9805637951419859,166.82968521118164,2.4568052291870117,Full Dataset
,Bagging,0.9951231507966297,0.9843434448585289,0.9766168845923447,0.980464942659837,773.5208082199097,11.70530915260315,Full Dataset
,SGD,0.9884291316671628,0.944611959931195,0.9642023507054182,0.9543066260503342,6.3836448192596436,0.043135643005371094,Full Dataset
,AdaBoost,0.993078187489484,0.9750119435847371,0.9696143438474727,0.972305652795327,359.140545129776,4.8157243728637695,Full Dataset
,Naive Bayes,0.9186415231093796,0.6083013380614054,0.9850860341657888,0.7521449750804365,1.5715172290802002,0.37555766105651855,Full Dataset
